County	Scientific.Name	Common.Name	Year.Last.Documented	Taxonomic.Subgroup	Taxonomic.Group	NY.Listing.Status
Albany	Anaxyrus americanus	American Toad	1999	Frogs and Toads	Amphibians	Game with open season
Albany	Anaxyrus fowleri	Fowler's Toad	1999	Frogs and Toads	Amphibians	Game with open season
Albany	Hyla versicolor	Gray Treefrog	1999	Frogs and Toads	Amphibians	Game with open season
Albany	Lithobates catesbeianus	Bullfrog	1999	Frogs and Toads	Amphibians	Game with open season
Albany	Lithobates clamitans	Green Frog	1999	Frogs and Toads	Amphibians	Game with open season
Albany	Lithobates palustris	Pickerel Frog	1999	Frogs and Toads	Amphibians	Game with open season
Albany	Lithobates pipiens	Northern Leopard Frog	1999	Frogs and Toads	Amphibians	Game with open season
Albany	Lithobates sylvaticus	Wood Frog	1999	Frogs and Toads	Amphibians	Game with open season
Albany	Pseudacris crucifer	Spring Peeper	1999	Frogs and Toads	Amphibians	Game with open season
Albany	Scaphiopus holbrookii	Eastern Spadefoot	2006	Frogs and Toads	Amphibians	Special Concern
Albany	Ambystoma jeffersonianum x laterale	Jefferson Salamander Complex	1999	Salamanders	Amphibians	Game with no open season
Albany	Ambystoma laterale	Blue-spotted Salamander	1999	Salamanders	Amphibians	Special Concern
Albany	Ambystoma maculatum	Spotted Salamander	1999	Salamanders	Amphibians	Game with no open season
Albany	Ambystoma tigrinum	Tiger Salamander	NA	Salamanders	Amphibians	Endangered
Albany	Desmognathus fuscus	Dusky Salamander	1999	Salamanders	Amphibians	Game with no open season
Albany	Desmognathus ochrophaeus	Allegheny Mountain Dusky Salamander	1999	Salamanders	Amphibians	Game with no open season
Albany	Eurycea bislineata	Northern Two-lined Salamander	1999	Salamanders	Amphibians	Game with no open season
Albany	Gyrinophilus porphyriticus	Spring Salamander	1999	Salamanders	Amphibians	Game with no open season
Albany	Hemidactylium scutatum	Four-toed Salamander	1999	Salamanders	Amphibians	Game with no open season
Albany	Notophthalmus viridescens	Eastern Newt	1999	Salamanders	Amphibians	Game with no open season
Albany	Plethodon cinereus	Redback Salamander	1999	Salamanders	Amphibians	Game with no open season
Albany	Plethodon glutinosus	Northern Slimy Salamander	1999	Salamanders	Amphibians	Game with no open season
Albany	Pseudotriton ruber	Red Salamander	1999	Salamanders	Amphibians	Game with no open season
Albany	Anadromous Fish Concentration Area	Anadromous Fish Concentration Area	1986	Animal Assemblages	Animal Assemblages	not applicable
Albany	Bat Colony	Bat Colony	2011	Animal Assemblages	Animal Assemblages	not applicable
Albany	Bombus (Bombus) affinis	Rusty-patched Bumble Bee	1991	Bees	Bees, Wasps, and Ants	not listed
Albany	Bombus (Bombus) terricola	Yellowbanded Bumble Bee	2009	Bees	Bees, Wasps, and Ants	not listed
Albany	Bombus (Thoracobombus) pensylvanicus	American Bumble Bee	1987	Bees	Bees, Wasps, and Ants	not listed
Albany	Agelaius phoeniceus	Red-winged Blackbird	2005	Blackbirds and Orioles	Birds	Protected Bird
Albany	Dolichonyx oryzivorus	Bobolink	2005	Blackbirds and Orioles	Birds	Protected Bird
Albany	Icterus galbula	Baltimore Oriole	2005	Blackbirds and Orioles	Birds	Protected Bird
Albany	Icterus spurius	Orchard Oriole	2005	Blackbirds and Orioles	Birds	Protected Bird
Albany	Molothrus ater	Brown-headed Cowbird	2005	Blackbirds and Orioles	Birds	Protected Bird
Albany	Quiscalus quiscula	Common Grackle	2005	Blackbirds and Orioles	Birds	Protected Bird
Albany	Sturnella magna	Eastern Meadowlark	2005	Blackbirds and Orioles	Birds	Protected Bird
Albany	Cardinalis cardinalis	Northern Cardinal	2005	Cardinals and Buntings	Birds	Protected Bird
Albany	Passerina cyanea	Indigo Bunting	2005	Cardinals and Buntings	Birds	Protected Bird
Albany	Pheucticus ludovicianus	Rose-breasted Grosbeak	2005	Cardinals and Buntings	Birds	Protected Bird
Albany	Piranga olivacea	Scarlet Tanager	2005	Cardinals and Buntings	Birds	Protected Bird
Albany	Baeolophus bicolor	Tufted Titmouse	2005	Chickadees and Titmice	Birds	Protected Bird
Albany	Poecile atricapillus	Black-capped Chickadee	2005	Chickadees and Titmice	Birds	Protected Bird
Albany	Phalacrocorax auritus	Double-crested Cormorant	2005	Cormorants	Birds	Protected Bird
Albany	Certhia americana	Brown Creeper	2005	Creepers	Birds	Protected Bird
Albany	Corvus brachyrhynchos	American Crow	2005	Crows and Jays	Birds	Protected Bird - Game with open season
Albany	Corvus corax	Common Raven	2005	Crows and Jays	Birds	Protected Bird
Albany	Corvus ossifragus	Fish Crow	2005	Crows and Jays	Birds	Protected Bird - Game with open season
Albany	Cyanocitta cristata	Blue Jay	2005	Crows and Jays	Birds	Protected Bird
Albany	Coccyzus americanus	Yellow-billed Cuckoo	2005	Cuckoos	Birds	Protected Bird
Albany	Coccyzus erythropthalmus	Black-billed Cuckoo	2005	Cuckoos	Birds	Protected Bird
Albany	Aix sponsa	Wood Duck	2005	Ducks, Geese, Waterfowl	Birds	Protected Bird - Game with open season
Albany	Anas discors	Blue-winged Teal	2005	Ducks, Geese, Waterfowl	Birds	Protected Bird - Game with open season
Albany	Anas platyrhynchos	Mallard	2005	Ducks, Geese, Waterfowl	Birds	Protected Bird - Game with open season
Albany	Anas platyrhynchos x rubripes	Mallard x Am. Black Duck Hybrid	2005	Ducks, Geese, Waterfowl	Birds	Protected Bird - Game with open season
Albany	Anas rubripes	American Black Duck	2005	Ducks, Geese, Waterfowl	Birds	Protected Bird - Game with open season
Albany	Branta canadensis	Canada Goose	2005	Ducks, Geese, Waterfowl	Birds	Protected Bird - Game with open season
Albany	Lophodytes cucullatus	Hooded Merganser	2005	Ducks, Geese, Waterfowl	Birds	Protected Bird - Game with open season
Albany	Haemorhous mexicanus	House Finch	2005	Finches and Crossbills	Birds	Protected Bird
Albany	Haemorhous purpureus	Purple Finch	2005	Finches and Crossbills	Birds	Protected Bird
Albany	Loxia curvirostra	Red Crossbill	2005	Finches and Crossbills	Birds	Protected Bird
Albany	Loxia leucoptera	White-winged Crossbill	2005	Finches and Crossbills	Birds	Protected Bird
Albany	Spinus pinus	Pine Siskin	2005	Finches and Crossbills	Birds	Protected Bird
Albany	Spinus tristis	American Goldfinch	2005	Finches and Crossbills	Birds	Protected Bird
Albany	Contopus virens	Eastern Wood-Pewee	2005	Flycatchers	Birds	Protected Bird
Albany	Empidonax alnorum	Alder Flycatcher	2005	Flycatchers	Birds	Protected Bird
Albany	Empidonax minimus	Least Flycatcher	2005	Flycatchers	Birds	Protected Bird
Albany	Empidonax traillii	Willow Flycatcher	2005	Flycatchers	Birds	Protected Bird
Albany	Myiarchus crinitus	Great Crested Flycatcher	2005	Flycatchers	Birds	Protected Bird
Albany	Sayornis phoebe	Eastern Phoebe	2005	Flycatchers	Birds	Protected Bird
Albany	Tyrannus tyrannus	Eastern Kingbird	2005	Flycatchers	Birds	Protected Bird
Albany	Polioptila caerulea	Blue-gray Gnatcatcher	2005	Gnatcatchers	Birds	Protected Bird
Albany	Podilymbus podiceps	Pied-billed Grebe	2012	Grebes	Birds	Threatened
Albany	Bonasa umbellus	Ruffed Grouse	2005	Grouse, Pheasants, Turkeys	Birds	Protected Bird - Game with open season
Albany	Colinus virginianus	Northern Bobwhite	2005	Grouse, Pheasants, Turkeys	Birds	Protected Bird - Game with open season
Albany	Meleagris gallopavo	Wild Turkey	2005	Grouse, Pheasants, Turkeys	Birds	Protected Bird - Game with open season
Albany	Phasianus colchicus	Ring-necked Pheasant	2005	Grouse, Pheasants, Turkeys	Birds	Protected Bird - Game with open season
Albany	Actitis macularius	Spotted Sandpiper	2005	Gulls, Terns, Plovers, Shorebirds	Birds	Protected Bird
Albany	Bartramia longicauda	Upland Sandpiper	1983	Gulls, Terns, Plovers, Shorebirds	Birds	Threatened
Albany	Charadrius vociferus	Killdeer	2005	Gulls, Terns, Plovers, Shorebirds	Birds	Protected Bird
Albany	Gallinago delicata	Wilson's Snipe	2005	Gulls, Terns, Plovers, Shorebirds	Birds	Protected Bird - Game with open season
Albany	Scolopax minor	American Woodcock	2005	Gulls, Terns, Plovers, Shorebirds	Birds	Protected Bird - Game with open season
Albany	Accipiter cooperii	Cooper's Hawk	2005	Hawks, Falcons, Eagles, Vultures	Birds	Special Concern
Albany	Accipiter gentilis	Northern Goshawk	2005	Hawks, Falcons, Eagles, Vultures	Birds	Special Concern
Albany	Accipiter striatus	Sharp-shinned Hawk	2005	Hawks, Falcons, Eagles, Vultures	Birds	Special Concern
Albany	Buteo jamaicensis	Red-tailed Hawk	2005	Hawks, Falcons, Eagles, Vultures	Birds	Protected Bird
Albany	Buteo lineatus	Red-shouldered Hawk	2005	Hawks, Falcons, Eagles, Vultures	Birds	Special Concern
